SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,415 Eureka St #2,San Francisco,CA,94114,1495000,2,2.0,Eureka Valley/Dolore,1460,,2001,1,1024,350,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/415-Eureka-St-94114/unit-2/home/1729767,San Francisco MLS,461403,N,Y,37.755623,-122.4375265
MLS Listing,,Townhouse,130 Landers St Unit 130H,San Francisco,CA,94114,1295000,2,1.5,Mission Dolores,1151,,1983,1,1125,716,Active,October-14-2017 01:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/130-Landers-St-94114/unit-130-H/home/1884745,San Francisco MLS,462653,N,Y,37.7656126,-122.4279788
MLS Listing,,Single Family Residential,116 Harold Ave,San Francisco,CA,94112,1095000,3,2.5,Ingleside,1825,2809,1977,1,600,,Active,October-14-2017 01:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/116-Harold-Ave-94112/home/1133979,San Francisco MLS,463806,N,Y,37.7204872,-122.4530438
MLS Listing,,Condo/Co-op,170 King St #911,San Francisco,CA,94107,849000,1,1.0,South Beach,766,,2007,1,1108,633,Active,October-14-2017 10:00 AM,October-14-2017 12:00 PM,http://www.redfin.com/CA/San-Francisco/170-King-St-94107/unit-911/home/17304979,San Francisco MLS,463724,N,Y,37.7787287,-122.3916072
MLS Listing,,Single Family Residential,535 47th Ave,San Francisco,CA,94121,1695000,3,2.0,Outer Richmond,2300,3360,1939,1,737,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/535-47th-Ave-94121/home/991473,San Francisco MLS,463768,N,Y,37.7782381,-122.5084747
MLS Listing,,Condo/Co-op,2551 Clay St,San Francisco,CA,94115,1895000,2,2.0,Pacific Heights,,,1981,1,,450,Active,October-13-2017 05:00 PM,October-13-2017 06:30 PM,http://www.redfin.com/CA/San-Francisco/2551-Clay-St-94115/home/567569,San Francisco MLS,463740,N,Y,37.790346,-122.43495
MLS Listing,,Single Family Residential,213 Upper Terrace Ter,San Francisco,CA,94117,1695000,3,2.0,Buena Vista Park,1850,3811,1922,1,916,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/213-Upper-Ter-94117/home/1092657,San Francisco MLS,463831,N,Y,37.7635707,-122.4443584
MLS Listing,,Single Family Residential,242 Country Club Dr,San Francisco,CA,94132,1158000,3,2.0,Lake Shore,1820,3454,1953,1,636,,Active,October-15-2017 02:00 PM,October-15-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/242-Country-Club-Dr-94132/home/1233703,San Francisco MLS,463779,N,Y,37.7322909,-122.4971342
MLS Listing,,Condo/Co-op,201 Folsom St Unit 32E,San Francisco,CA,94105,3295000,3,3.0,South Beach,1780,,2017,1,1851,1177,Active,October-13-2017 11:00 AM,October-13-2017 05:00 PM,http://www.redfin.com/CA/San-Francisco/201-Folsom-St-94105/unit-32E/home/113710435,San Francisco MLS,463832,N,Y,37.7886997,-122.39226
MLS Listing,,Condo/Co-op,1221 Harrison St #7,San Francisco,CA,94103,1025000,1,2.0,South of Market,1404,,2004,1,730,578,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1221-Harrison-St-94103/unit-7/home/1038437,San Francisco MLS,463820,N,Y,37.7731279,-122.4087672
MLS Listing,,Multi-Family (2-4 Unit),3027 25th St,San Francisco,CA,94110,2699000,4,3.0,Inner Mission,4800,3750,1908,1,562,,Active,,,http://www.redfin.com/CA/San-Francisco/3027-25th-St-94110/home/28890797,San Francisco MLS,463829,N,Y,37.7509203,-122.4106377
MLS Listing,,Single Family Residential,135 Farallones,San Francisco,CA,94112,899000,4,3.0,Oceanview,1394,3123,1912,1,645,,Active,October-13-2017 02:00 PM,October-13-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/135-Farallones-St-94112/home/1850678,San Francisco MLS,463805,N,Y,37.713901,-122.4573318
MLS Listing,,Single Family Residential,1104 Brazil Ave,San Francisco,CA,94112,1195000,4,5.0,Excelsior,2342,3746,1907,1,510,,Active,October-14-2017 01:00 PM,October-14-2017 05:00 PM,http://www.redfin.com/CA/San-Francisco/1104-Brazil-Ave-94112/home/2011690,San Francisco MLS,463244,N,Y,37.720242,-122.4259004
MLS Listing,,Condo/Co-op,403 Main St Unit 120N,San Francisco,CA,94105,1099000,2,2.0,South Beach,1083,,1997,1,1015,561,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/403-Main-St-94105/unit-120N/home/1900937,San Francisco MLS,463231,N,Y,37.7880115,-122.3896827
MLS Listing,,Condo/Co-op,489 Harrison St #407,San Francisco,CA,94105,1088000,1,1.0,South Beach,900,,2008,1,1209,941,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/489-Harrison-St-94105/unit-407/home/17304896,San Francisco MLS,463245,N,Y,37.7860724,-122.3926053
MLS Listing,,Single Family Residential,19 Del Monte St,San Francisco,CA,94112,1200000,3,3.0,Outer Mission,1890,2040,1924,1,635,,Active,,,http://www.redfin.com/CA/San-Francisco/19-Del-Monte-St-94112/home/1046490,San Francisco MLS,463823,N,Y,37.7161011,-122.4429219
MLS Listing,,Condo/Co-op,2719 Franklin,San Francisco,CA,94123,2695000,4,3.5,Cow Hollow,,,,2,,150,Active,,,http://www.redfin.com/CA/San-Francisco/2719-Franklin-St-94123/home/1995528,San Francisco MLS,463826,N,Y,37.79957,-122.426169
MLS Listing,,Single Family Residential,331 Joost Ave,San Francisco,CA,94131,1299000,3,2.25,Sunnyside,2052,2495,1947,2,633,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/331-Joost-Ave-94131/home/1280932,San Francisco MLS,463741,N,Y,37.732198,-122.4427669
MLS Listing,,Townhouse,6 Carnelian Way,San Francisco,CA,94131,1495000,4,2.5,Diamond Heights,2124,,1979,2,704,675,Active,October-13-2017 05:00 PM,October-13-2017 06:30 PM,http://www.redfin.com/CA/San-Francisco/6-Carnelian-Way-94131/home/968105,San Francisco MLS,463819,N,Y,37.747428,-122.441848
MLS Listing,,Single Family Residential,964 Corbett Ave,San Francisco,CA,94131,1680000,3,3.0,Twin Peaks,1630,1751,1947,2,1031,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/964-Corbett-Ave-94131/home/681520,San Francisco MLS,463732,N,Y,37.7514252,-122.4439278
MLS Listing,,Single Family Residential,3042 Noriega St,San Francisco,CA,94122,899000,2,1.0,Outer Sunset,1200,2325,1947,2,749,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/3042-Noriega-St-94122/home/963648,San Francisco MLS,463810,N,Y,37.7535625,-122.4965215
MLS Listing,,Single Family Residential,542-544 29th Ave,San Francisco,CA,94121,2498000,4,2.0,Central Richmond,2600,3000,1948,2,961,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/544-29th-Ave-94121/home/1872502,San Francisco MLS,463776,N,Y,37.7790141,-122.4888435
MLS Listing,,Single Family Residential,215 Cherry St,San Francisco,CA,94118,7995000,6,6.5,Presidio Heights,5250,5000,1906,2,1523,,Active,October-14-2017 01:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/215-Cherry-St-94118/home/952088,San Francisco MLS,463792,N,Y,37.7882995,-122.4574115
MLS Listing,,Single Family Residential,1525 Shrader St,San Francisco,CA,94117,2895000,4,3.0,Parnassus/Ashbury Heights,2050,4414,1927,2,1412,,Active,October-15-2017 01:00 PM,October-15-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1525-Shrader-St-94117/home/1402622,San Francisco MLS,463783,N,Y,37.7609888,-122.4507194
MLS Listing,,Single Family Residential,260 Minerva St,San Francisco,CA,94112,629000,2,1.0,Oceanview,875,3123,1941,2,719,,Active,,,http://www.redfin.com/CA/San-Francisco/260-Minerva-St-94112/home/1363923,San Francisco MLS,463767,N,Y,37.7158926,-122.4613096
MLS Listing,,Single Family Residential,550 Crestlake Dr,San Francisco,CA,94132,1595000,3,3.0,Pine Lake Park,1706,5776,1950,2,935,,Active,October-14-2017 01:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/550-Crestlake-Dr-94132/home/670707,San Francisco MLS,463720,N,Y,37.7365771,-122.4905225
MLS Listing,,Multi-Family (2-4 Unit),1210-1212 Lombard St,San Francisco,CA,94109,5800000,4,4.5,Russian Hill,3290,3438,1900,2,1763,,Active,October-14-2017 01:00 PM,October-14-2017 03:00 PM,http://www.redfin.com/CA/San-Francisco/1212-Lombard-St-94109/home/1999055,San Francisco MLS,463747,N,Y,37.8018623,-122.4217308
MLS Listing,,Condo/Co-op,401 Harrison Unit 21B,San Francisco,CA,94105,1720000,2,2.0,South Beach,1311,,2014,3,1312,1259,Active,,,http://www.redfin.com/CA/San-Francisco/401-Harrison-St-94105/unit-21B/home/144039293,San Francisco MLS,463765,N,Y,37.7865463,-122.3920492
MLS Listing,,Single Family Residential,9 Teddy Ave,San Francisco,CA,94134,1100000,4,3.5,Visitacion Valley,3200,2500,1993,3,344,,Active,October-14-2017 02:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/9-Teddy-Ave-94134/home/2032236,San Francisco MLS,463750,N,Y,37.7129287,-122.4025905
MLS Listing,,Single Family Residential,1493 Newcomb Ave,SAN FRANCISCO,CA,94124,1099950,5,4.5,SAN FRANCISCO,3475,2500,1910,3,317,,Active,October-14-2017 01:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/1493-Newcomb-Ave-94124/home/1922583,MLSListings,ML81681024,N,Y,37.733898,-122.387964
MLS Listing,,Condo/Co-op,260 King St #1113,San Francisco,CA,94107,850000,1,1.0,Mission Bay,814,,2004,3,1044,728,Active,October-14-2017 01:00 PM,October-14-2017 04:00 PM,http://www.redfin.com/CA/San-Francisco/260-King-St-94107/unit-1113/home/12331075,San Francisco MLS,463733,N,Y,37.7772049,-122.3940134
